54;72;17;64;93
19;100;99;56;87
28;87;73;32;57
40;57;25;51;98
78;45;61;68;89
29;89;77;81;55
24;98;34;72;17
69;99;76;62;10
71;50;37;55;14
60;79;44;49;43
14;81;95;37;93
69;25;58;91;34
84;89;98;63;76
35;71;64;87;79
25;22;87;45;13
78;66;12;32;50
12;94;18;68;34
31;67;65;24;81
38;16;93;25;64
57;50;87;78;47
66;28;63;63;89
51;67;84;93;36
83;43;16;76;52
81;56;47;80;73
89;45;26;15;28
86;42;54;66;100
32;81;97;64;22
56;71;65;10;23
21;78;70;57;75
91;42;32;48;33
70;92;10;50;10
10;50;65;13;17
41;74;57;14;80
74;87;62;100;10
58;67;99;88;30
100;93;77;28;96
94;62;76;85;15
73;60;67;37;21
62;32;50;74;89
65;53;70;49;97
24;39;77;21;100
49;22;60;70;19
66;85;47;87;53
58;100;64;93;84
61;61;41;49;16
19;58;66;45;33
33;56;50;55;12
52;89;22;36;46
36;77;36;35;11
40;39;67;72;41
32;60;59;83;93
78;89;83;38;72
35;43;85;74;93
52;45;73;73;83
21;41;88;77;78
60;50;57;55;24
68;34;68;33;60
28;14;43;58;61
30;76;86;95;95
86;93;70;69;98
57;25;88;94;64
61;67;18;10;19
12;15;81;21;59
56;60;37;55;80
16;19;96;44;34
55;51;25;13;90
88;98;61;46;38
95;37;86;19;44
63;67;97;95;92
55;77;36;54;85
11;36;66;49;23
32;51;77;58;95
67;24;39;29;37
66;34;43;100;85
76;74;27;12;18
22;32;63;78;17
83;67;44;87;72
92;34;12;96;41
24;65;36;89;16
22;18;60;72;45
11;13;72;10;74
29;66;78;87;67
95;51;70;96;24
91;99;71;34;89
51;66;62;55;35
98;16;45;15;89
81;19;46;55;87
70;70;13;64;70
43;49;85;87;80
29;69;28;100;86
74;73;32;21;71
80;47;70;76;80
37;41;73;25;45
63;72;49;82;92
10;97;12;13;62
46;81;50;33;77
43;69;40;78;28
35;74;20;92;36
67;58;10;52;58
55;31;33;73;66
